Parameters:
Minimum support         : 0.09
Minimum confidence      : 0.8
========================================

Computing frequent itemsets from dataset...
+-----------------------------------------------------------------------------------------------------------------+
|                                         Frequent itemsets (min_sup=0.09)                                        |
+------------------------------------------------------------------------------------------+----------------------+
|                                         Itemset                                          |      Support %       |
|                                 ('BK81', 'Alive', 11212)                                 | 10.459999999999999 % |
|                              ('BK81', 'Alive', 'Brooklyn')                               |        10.5 %        |
|                                ('BK81', 'OnCurb', 11212)                                 |        9.98 %        |
|                              ('BK81', 'OnCurb', 'Brooklyn')                              |       10.02 %        |
|                               ('BK81', 11212, 'Brooklyn')                                |        10.7 %        |
|                 ('Gleditsia triacanthos var. inermis', 'Good', 'Alive')                  |       10.92 %        |
|              ('Gleditsia triacanthos var. inermis', 'Good', 'honeylocust')               |       10.92 %        |
|                 ('Gleditsia triacanthos var. inermis', 'Good', 'OnCurb')                 |        10.8 %        |
|              ('Gleditsia triacanthos var. inermis', 'Alive', 'honeylocust')              | 13.239999999999998 % |
|              ('Gleditsia triacanthos var. inermis', 'Alive', 'Street Tree')              |        9.58 %        |
|                ('Gleditsia triacanthos var. inermis', 'Alive', 'OnCurb')                 |        13.0 %        |
|           ('Gleditsia triacanthos var. inermis', 'honeylocust', 'Street Tree')           |        9.58 %        |
|             ('Gleditsia triacanthos var. inermis', 'honeylocust', 'OnCurb')              |        13.0 %        |
|             ('Gleditsia triacanthos var. inermis', 'Street Tree', 'OnCurb')              |        9.44 %        |
|                             ('Good', '(9.0, 16.0]', 'Alive')                             | 18.099999999999998 % |
|                          ('Good', '(9.0, 16.0]', 'Street Tree')                          |       13.34 %        |
|                            ('Good', '(9.0, 16.0]', 'OnCurb')                             |       17.18 %        |
|                          ('Good', '(9.0, 16.0]', 'NoProblems')                           | 10.059999999999999 % |
|                              ('Good', '(9.0, 16.0]', 2019)                               |        9.04 %        |
|                              ('Good', '(9.0, 16.0]', 2018)                               |        9.06 %        |
|                           ('Good', '(9.0, 16.0]', 'NoDamage')                            |        9.82 %        |
|                             ('Good', 'Alive', '(6.0, 9.0]')                              |        10.8 %        |
|                          ('Good', 'Alive', '(73.473, 76.336]')                           |       15.78 %        |
|                              ('Good', 'Alive', 'Volunteer')                              | 23.580000000000002 % |
|                              ('Good', 'Alive', 'Manhattan')                              |       10.18 %        |
|                             ('Good', 'Alive', 'honeylocust')                             |       10.92 %        |
|                            ('Good', 'Alive', '(16.0, 59.0]')                             |       14.78 %        |
|                          ('Good', 'Alive', '(76.336, 82.603]')                           |       15.36 %        |
|                          ('Good', 'Alive', 'London planetree')                           | 10.100000000000001 % |
|                                ('Good', 'Alive', 'BK82')                                 |        9.58 %        |
|                            ('Good', 'Alive', '(-0.001, 4.0]')                            |       21.88 %        |
|                             ('Good', 'Alive', 'Street Tree')                             | 58.160000000000004 % |
|                               ('Good', 'Alive', 'Stones')                                |       10.56 %        |
|                          ('Good', 'Alive', '(82.603, 95.183]')                           |       15.36 %        |
|                           ('Good', 'Alive', 'NYC Parks Staff')                           | 20.919999999999998 % |
|                               ('Good', 'Alive', 'Damage')                                |       25.96 %        |
|                               ('Good', 'Alive', 'OnCurb')                                |       73.92 %        |
|                             ('Good', 'Alive', 'NoProblems')                              | 51.580000000000005 % |
|                              ('Good', 'Alive', 'Brooklyn')                               | 40.160000000000004 % |
|                             ('Good', 'Alive', 'Light Pole')                              |       19.74 %        |
|                          ('Good', 'Alive', '(71.353, 73.473]')                           |       15.68 %        |
|                                 ('Good', 'Alive', 2019)                                  |       39.06 %        |
|                                 ('Good', 'Alive', 2018)                                  |       38.84 %        |
|                                ('Good', 'Alive', 'Bronx')                                |       18.78 %        |
|                             ('Good', 'Alive', '(4.0, 6.0]')                              |       12.34 %        |
|                        ('Good', 'Alive', 'Platanus x acerifolia')                        | 10.100000000000001 % |
|                          ('Good', 'Alive', 'TreesCount Staff')                           |        33.4 %        |
|                              ('Good', 'Alive', 'NoDamage')                               |       51.94 %        |
|                    ('Good', 'Alive', '(52.443000000000005, 71.353]')                     |       15.32 %        |
|                             ('Good', '(6.0, 9.0]', 'OnCurb')                             |       10.52 %        |
|                       ('Good', '(73.473, 76.336]', 'Street Tree')                        |       12.16 %        |
|                          ('Good', '(73.473, 76.336]', 'OnCurb')                          |        15.0 %        |
|                        ('Good', '(73.473, 76.336]', 'NoProblems')                        |       10.36 %        |
|                            ('Good', '(73.473, 76.336]', 2018)                            |        11.5 %        |
|                         ('Good', '(73.473, 76.336]', 'NoDamage')                         |       10.76 %        |
|                           ('Good', 'Volunteer', 'Street Tree')                           |       17.88 %        |
|                             ('Good', 'Volunteer', 'Damage')                              |        9.08 %        |
|                             ('Good', 'Volunteer', 'OnCurb')                              |        22.1 %        |
|                           ('Good', 'Volunteer', 'NoProblems')                            |       11.74 %        |
|                            ('Good', 'Volunteer', 'Brooklyn')                             |       12.04 %        |
|                               ('Good', 'Volunteer', 2019)                                | 13.420000000000002 % |
|                               ('Good', 'Volunteer', 2018)                                |       10.16 %        |
|                            ('Good', 'Volunteer', 'NoDamage')                             | 14.499999999999998 % |
|                             ('Good', 'Manhattan', 'OnCurb')                              | 9.180000000000001 %  |
|                            ('Good', 'honeylocust', 'OnCurb')                             |        10.8 %        |
|                         ('Good', '(16.0, 59.0]', 'Street Tree')                          |       11.08 %        |
|                            ('Good', '(16.0, 59.0]', 'OnCurb')                            | 13.320000000000002 % |
|                           ('Good', '(16.0, 59.0]', 'Brooklyn')                           | 9.520000000000001 %  |
|                       ('Good', '(76.336, 82.603]', 'Street Tree')                        |       11.42 %        |
|                          ('Good', '(76.336, 82.603]', 'OnCurb')                          |       14.46 %        |
|                        ('Good', '(76.336, 82.603]', 'NoProblems')                        |        10.4 %        |
|                         ('Good', '(76.336, 82.603]', 'NoDamage')                         |       10.42 %        |
|                  ('Good', 'London planetree', 'Platanus x acerifolia')                   | 10.100000000000001 % |
|                                ('Good', 'BK82', 'OnCurb')                                | 9.180000000000001 %  |
|                               ('Good', 'BK82', 'Brooklyn')                               |        9.58 %        |
|                         ('Good', '(-0.001, 4.0]', 'Street Tree')                         | 16.520000000000003 % |
|                           ('Good', '(-0.001, 4.0]', 'OnCurb')                            | 21.060000000000002 % |
|                         ('Good', '(-0.001, 4.0]', 'NoProblems')                          |        19.0 %        |
|                          ('Good', '(-0.001, 4.0]', 'Brooklyn')                           |       12.04 %        |
|                             ('Good', '(-0.001, 4.0]', 2019)                              |       11.62 %        |
|                             ('Good', '(-0.001, 4.0]', 2018)                              |       10.26 %        |
|                      ('Good', '(-0.001, 4.0]', 'TreesCount Staff')                       |       10.72 %        |
|                          ('Good', '(-0.001, 4.0]', 'NoDamage')                           | 17.560000000000002 % |
|                       ('Good', 'Street Tree', '(82.603, 95.183]')                        |       10.96 %        |
|                        ('Good', 'Street Tree', 'NYC Parks Staff')                        | 15.540000000000001 % |
|                            ('Good', 'Street Tree', 'Damage')                             | 19.220000000000002 % |
|                            ('Good', 'Street Tree', 'OnCurb')                             |       55.34 %        |
|                          ('Good', 'Street Tree', 'NoProblems')                           |       38.24 %        |
|                           ('Good', 'Street Tree', 'Brooklyn')                            | 30.459999999999997 % |
|                       ('Good', 'Street Tree', '(71.353, 73.473]')                        | 11.540000000000001 % |
|                              ('Good', 'Street Tree', 2019)                               | 28.799999999999997 % |
|                              ('Good', 'Street Tree', 2018)                               | 29.360000000000003 % |
|                             ('Good', 'Street Tree', 'Bronx')                             | 11.559999999999999 % |
|                          ('Good', 'Street Tree', '(4.0, 6.0]')                           |        9.5 %         |
|                       ('Good', 'Street Tree', 'TreesCount Staff')                        | 24.740000000000002 % |
|                           ('Good', 'Street Tree', 'NoDamage')                            | 38.940000000000005 % |
|                 ('Good', 'Street Tree', '(52.443000000000005, 71.353]')                  |       11.76 %        |
|                               ('Good', 'Stones', 'OnCurb')                               |       10.08 %        |
|                          ('Good', '(82.603, 95.183]', 'OnCurb')                          | 14.499999999999998 % |
|                        ('Good', '(82.603, 95.183]', 'NoProblems')                        |        9.84 %        |
|                            ('Good', '(82.603, 95.183]', 2019)                            | 10.280000000000001 % |
|                         ('Good', '(82.603, 95.183]', 'NoDamage')                         |        9.64 %        |
|                          ('Good', 'NYC Parks Staff', 'OnCurb')                           |        20.0 %        |
|                        ('Good', 'NYC Parks Staff', 'NoProblems')                         |       14.62 %        |
|                         ('Good', 'NYC Parks Staff', 'Brooklyn')                          | 12.659999999999998 % |
|                            ('Good', 'NYC Parks Staff', 2019)                             |       10.12 %        |
|                            ('Good', 'NYC Parks Staff', 2018)                             |        10.8 %        |
|                         ('Good', 'NYC Parks Staff', 'NoDamage')                          | 14.580000000000002 % |
|                               ('Good', 'Damage', 'OnCurb')                               |       25.14 %        |
|                             ('Good', 'Damage', 'NoProblems')                             |        12.3 %        |
|                              ('Good', 'Damage', 'Brooklyn')                              | 14.280000000000001 % |
|                                 ('Good', 'Damage', 2019)                                 |        13.4 %        |
|                                 ('Good', 'Damage', 2018)                                 | 12.559999999999999 % |
|                          ('Good', 'Damage', 'TreesCount Staff')                          |       10.54 %        |
|                             ('Good', 'OnCurb', 'NoProblems')                             |       48.74 %        |
|                              ('Good', 'OnCurb', 'Brooklyn')                              |        38.5 %        |
|                             ('Good', 'OnCurb', 'Light Pole')                             |       18.58 %        |
|                          ('Good', 'OnCurb', '(71.353, 73.473]')                          |       15.06 %        |
|                                 ('Good', 'OnCurb', 2019)                                 |        37.2 %        |
|                                 ('Good', 'OnCurb', 2018)                                 | 36.720000000000006 % |
|                               ('Good', 'OnCurb', 'Bronx')                                |       17.68 %        |
|                             ('Good', 'OnCurb', '(4.0, 6.0]')                             |       11.84 %        |
|                          ('Good', 'OnCurb', 'TreesCount Staff')                          | 31.819999999999997 % |
|                              ('Good', 'OnCurb', 'NoDamage')                              |       48.78 %        |
|                    ('Good', 'OnCurb', '(52.443000000000005, 71.353]')                    | 14.499999999999998 % |
|                            ('Good', 'NoProblems', 'Brooklyn')                            | 25.840000000000003 % |
|                           ('Good', 'NoProblems', 'Light Pole')                           |       13.34 %        |
|                        ('Good', 'NoProblems', '(71.353, 73.473]')                        |       10.34 %        |
|                               ('Good', 'NoProblems', 2019)                               | 25.480000000000004 % |
