Parameters:
Minimum support         : 0.09
Minimum confidence      : 0.8
========================================

Computing frequent itemsets from dataset...
+-----------------------------------------------------------------------------------------------------------------+
|                                         Frequent itemsets (min_sup=0.09)                                        |
+------------------------------------------------------------------------------------------+----------------------+
|                                         Itemset                                          |      Support %       |
|                    ('Good', '(-0.001, 4.0]', 'Street Tree', 'OnCurb')                    | 15.959999999999999 % |
|                  ('Good', '(-0.001, 4.0]', 'Street Tree', 'NoProblems')                  |       14.34 %        |
|                   ('Good', '(-0.001, 4.0]', 'Street Tree', 'Brooklyn')                   |        9.4 %         |
|                   ('Good', '(-0.001, 4.0]', 'Street Tree', 'NoDamage')                   | 13.239999999999998 % |
|                    ('Good', '(-0.001, 4.0]', 'OnCurb', 'NoProblems')                     | 18.279999999999998 % |
|                     ('Good', '(-0.001, 4.0]', 'OnCurb', 'Brooklyn')                      |       11.72 %        |
|                        ('Good', '(-0.001, 4.0]', 'OnCurb', 2019)                         | 11.219999999999999 % |
|                        ('Good', '(-0.001, 4.0]', 'OnCurb', 2018)                         |        9.84 %        |
|                 ('Good', '(-0.001, 4.0]', 'OnCurb', 'TreesCount Staff')                  |       10.22 %        |
|                     ('Good', '(-0.001, 4.0]', 'OnCurb', 'NoDamage')                      |       16.86 %        |
|                   ('Good', '(-0.001, 4.0]', 'NoProblems', 'Brooklyn')                    |        10.6 %        |
|                      ('Good', '(-0.001, 4.0]', 'NoProblems', 2019)                       |        10.0 %        |
|                      ('Good', '(-0.001, 4.0]', 'NoProblems', 2018)                       |        9.0 %         |
|               ('Good', '(-0.001, 4.0]', 'NoProblems', 'TreesCount Staff')                |        9.82 %        |
|                   ('Good', '(-0.001, 4.0]', 'NoProblems', 'NoDamage')                    |       15.86 %        |
|                    ('Good', '(-0.001, 4.0]', 'Brooklyn', 'NoDamage')                     |        9.78 %        |
|                       ('Good', '(-0.001, 4.0]', 2019, 'NoDamage')                        |        9.28 %        |
|                  ('Good', 'Street Tree', '(82.603, 95.183]', 'OnCurb')                   |       10.34 %        |
|                   ('Good', 'Street Tree', 'NYC Parks Staff', 'OnCurb')                   | 14.860000000000001 % |
|                 ('Good', 'Street Tree', 'NYC Parks Staff', 'NoProblems')                 | 10.780000000000001 % |
|                  ('Good', 'Street Tree', 'NYC Parks Staff', 'Brooklyn')                  |        9.74 %        |
|                  ('Good', 'Street Tree', 'NYC Parks Staff', 'NoDamage')                  |       10.68 %        |
|                       ('Good', 'Street Tree', 'Damage', 'OnCurb')                        |       18.64 %        |
|                     ('Good', 'Street Tree', 'Damage', 'NoProblems')                      |        9.26 %        |
|                      ('Good', 'Street Tree', 'Damage', 'Brooklyn')                       |       10.68 %        |
|                         ('Good', 'Street Tree', 'Damage', 2019)                          |        9.66 %        |
|                         ('Good', 'Street Tree', 'Damage', 2018)                          |        9.56 %        |
|                     ('Good', 'Street Tree', 'OnCurb', 'NoProblems')                      |       36.24 %        |
|                      ('Good', 'Street Tree', 'OnCurb', 'Brooklyn')                       |       29.24 %        |
|                  ('Good', 'Street Tree', 'OnCurb', '(71.353, 73.473]')                   |       11.14 %        |
|                         ('Good', 'Street Tree', 'OnCurb', 2019)                          | 27.560000000000002 % |
|                         ('Good', 'Street Tree', 'OnCurb', 2018)                          | 27.779999999999998 % |
|                        ('Good', 'Street Tree', 'OnCurb', 'Bronx')                        |        10.9 %        |
|                     ('Good', 'Street Tree', 'OnCurb', '(4.0, 6.0]')                      | 9.139999999999999 %  |
|                  ('Good', 'Street Tree', 'OnCurb', 'TreesCount Staff')                   |       23.62 %        |
|                      ('Good', 'Street Tree', 'OnCurb', 'NoDamage')                       |        36.7 %        |
|            ('Good', 'Street Tree', 'OnCurb', '(52.443000000000005, 71.353]')             |       11.24 %        |
|                    ('Good', 'Street Tree', 'NoProblems', 'Brooklyn')                     |       19.34 %        |
|                       ('Good', 'Street Tree', 'NoProblems', 2019)                        |       18.54 %        |
|                       ('Good', 'Street Tree', 'NoProblems', 2018)                        |        19.7 %        |
|                ('Good', 'Street Tree', 'NoProblems', 'TreesCount Staff')                 |       18.64 %        |
|                    ('Good', 'Street Tree', 'NoProblems', 'NoDamage')                     |       28.98 %        |
|                        ('Good', 'Street Tree', 'Brooklyn', 2019)                         |       17.24 %        |
|                        ('Good', 'Street Tree', 'Brooklyn', 2018)                         |       13.22 %        |
|                 ('Good', 'Street Tree', 'Brooklyn', 'TreesCount Staff')                  | 11.559999999999999 % |
|                     ('Good', 'Street Tree', 'Brooklyn', 'NoDamage')                      |       19.78 %        |
|                    ('Good', 'Street Tree', 2019, 'TreesCount Staff')                     |       11.12 %        |
|                        ('Good', 'Street Tree', 2019, 'NoDamage')                         | 19.139999999999997 % |
|                    ('Good', 'Street Tree', 2018, 'TreesCount Staff')                     |       13.62 %        |
|                        ('Good', 'Street Tree', 2018, 'NoDamage')                         |        19.8 %        |
|                 ('Good', 'Street Tree', 'TreesCount Staff', 'NoDamage')                  | 16.919999999999998 % |
|                   ('Good', '(82.603, 95.183]', 'OnCurb', 'NoProblems')                   |        9.32 %        |
|                       ('Good', '(82.603, 95.183]', 'OnCurb', 2019)                       |        9.68 %        |
|                   ('Good', 'NYC Parks Staff', 'OnCurb', 'NoProblems')                    |       13.84 %        |
|                    ('Good', 'NYC Parks Staff', 'OnCurb', 'Brooklyn')                     | 11.940000000000001 % |
|                       ('Good', 'NYC Parks Staff', 'OnCurb', 2019)                        |        9.68 %        |
|                       ('Good', 'NYC Parks Staff', 'OnCurb', 2018)                        |       10.32 %        |
|                    ('Good', 'NYC Parks Staff', 'OnCurb', 'NoDamage')                     |       13.76 %        |
|                  ('Good', 'NYC Parks Staff', 'NoProblems', 'NoDamage')                   |        11.5 %        |
|                        ('Good', 'Damage', 'OnCurb', 'NoProblems')                        | 11.940000000000001 % |
|                         ('Good', 'Damage', 'OnCurb', 'Brooklyn')                         |       14.12 %        |
|                            ('Good', 'Damage', 'OnCurb', 2019)                            | 13.020000000000001 % |
|                            ('Good', 'Damage', 'OnCurb', 2018)                            | 12.120000000000001 % |
|                     ('Good', 'Damage', 'OnCurb', 'TreesCount Staff')                     |        10.4 %        |
|                       ('Good', 'OnCurb', 'NoProblems', 'Brooklyn')                       |       24.48 %        |
|                      ('Good', 'OnCurb', 'NoProblems', 'Light Pole')                      |        12.5 %        |
|                   ('Good', 'OnCurb', 'NoProblems', '(71.353, 73.473]')                   |        9.92 %        |
|                          ('Good', 'OnCurb', 'NoProblems', 2019)                          |       24.18 %        |
|                          ('Good', 'OnCurb', 'NoProblems', 2018)                          | 24.560000000000002 % |
|                        ('Good', 'OnCurb', 'NoProblems', 'Bronx')                         |        12.3 %        |
|                   ('Good', 'OnCurb', 'NoProblems', 'TreesCount Staff')                   | 23.799999999999997 % |
|                       ('Good', 'OnCurb', 'NoProblems', 'NoDamage')                       |        36.8 %        |
|             ('Good', 'OnCurb', 'NoProblems', '(52.443000000000005, 71.353]')             |        9.76 %        |
|                       ('Good', 'OnCurb', 'Brooklyn', 'Light Pole')                       |        9.26 %        |
|                           ('Good', 'OnCurb', 'Brooklyn', 2019)                           | 21.740000000000002 % |
|                           ('Good', 'OnCurb', 'Brooklyn', 2018)                           |       16.76 %        |
|                    ('Good', 'OnCurb', 'Brooklyn', 'TreesCount Staff')                    | 14.879999999999999 % |
|                        ('Good', 'OnCurb', 'Brooklyn', 'NoDamage')                        |       24.38 %        |
|                          ('Good', 'OnCurb', 'Light Pole', 2019)                          |        9.64 %        |
|                       ('Good', 'OnCurb', 'Light Pole', 'NoDamage')                       |       12.08 %        |
|                    ('Good', 'OnCurb', '(71.353, 73.473]', 'NoDamage')                    |        9.76 %        |
|                       ('Good', 'OnCurb', 2019, 'TreesCount Staff')                       |       14.82 %        |
|                           ('Good', 'OnCurb', 2019, 'NoDamage')                           |       24.18 %        |
|                            ('Good', 'OnCurb', 2018, 'Bronx')                             |        10.0 %        |
|                       ('Good', 'OnCurb', 2018, 'TreesCount Staff')                       |        17.0 %        |
|                           ('Good', 'OnCurb', 2018, 'NoDamage')                           |        24.6 %        |
|                     ('Good', 'OnCurb', 'Bronx', 'TreesCount Staff')                      | 9.520000000000001 %  |
|                         ('Good', 'OnCurb', 'Bronx', 'NoDamage')                          |       12.08 %        |
|                       ('Good', 'OnCurb', '(4.0, 6.0]', 'NoDamage')                       |        9.48 %        |
|                    ('Good', 'OnCurb', 'TreesCount Staff', 'NoDamage')                    |       21.42 %        |
|              ('Good', 'OnCurb', 'NoDamage', '(52.443000000000005, 71.353]')              | 9.879999999999999 %  |
|                         ('Good', 'NoProblems', 'Brooklyn', 2019)                         |       14.46 %        |
|                         ('Good', 'NoProblems', 'Brooklyn', 2018)                         | 11.379999999999999 % |
|                  ('Good', 'NoProblems', 'Brooklyn', 'TreesCount Staff')                  |       10.92 %        |
|                      ('Good', 'NoProblems', 'Brooklyn', 'NoDamage')                      |       19.48 %        |
|                     ('Good', 'NoProblems', 'Light Pole', 'NoDamage')                     | 10.299999999999999 % |
|                     ('Good', 'NoProblems', 2019, 'TreesCount Staff')                     | 11.700000000000001 % |
|                         ('Good', 'NoProblems', 2019, 'NoDamage')                         |       19.34 %        |
|                     ('Good', 'NoProblems', 2018, 'TreesCount Staff')                     |       13.52 %        |
|                         ('Good', 'NoProblems', 2018, 'NoDamage')                         | 19.939999999999998 % |
|                       ('Good', 'NoProblems', 'Bronx', 'NoDamage')                        |       10.12 %        |
|                  ('Good', 'NoProblems', 'TreesCount Staff', 'NoDamage')                  |        19.3 %        |
|                          ('Good', 'Brooklyn', 2019, 'NoDamage')                          |       14.46 %        |
|                          ('Good', 'Brooklyn', 2018, 'NoDamage')                          |       11.42 %        |
|                   ('Good', 'Brooklyn', 'TreesCount Staff', 'NoDamage')                   |       10.38 %        |
|                      ('Good', 2019, 'TreesCount Staff', 'NoDamage')                      |       10.42 %        |
|                      ('Good', 2018, 'TreesCount Staff', 'NoDamage')                      |       12.44 %        |
|                    ('(9.0, 16.0]', 'Alive', 'Street Tree', 'OnCurb')                     |       15.72 %        |
|                   ('(9.0, 16.0]', 'Alive', 'Street Tree', 'NoDamage')                    | 9.120000000000001 %  |
|                       ('(9.0, 16.0]', 'Alive', 'Damage', 'OnCurb')                       |        9.9 %         |
|                     ('(9.0, 16.0]', 'Alive', 'OnCurb', 'NoProblems')                     |       11.28 %        |
|                      ('(9.0, 16.0]', 'Alive', 'OnCurb', 'Brooklyn')                      | 10.100000000000001 % |
|                         ('(9.0, 16.0]', 'Alive', 'OnCurb', 2019)                         | 10.979999999999999 % |
|                         ('(9.0, 16.0]', 'Alive', 'OnCurb', 2018)                         | 10.100000000000001 % |
|                      ('(9.0, 16.0]', 'Alive', 'OnCurb', 'NoDamage')                      |       11.18 %        |
|                     ('Alive', '(6.0, 9.0]', 'Street Tree', 'OnCurb')                     |        9.2 %         |
|                  ('Alive', '(73.473, 76.336]', 'Street Tree', 'OnCurb')                  |       14.26 %        |
|                ('Alive', '(73.473, 76.336]', 'Street Tree', 'NoProblems')                |        9.42 %        |
|                    ('Alive', '(73.473, 76.336]', 'Street Tree', 2018)                    |       11.24 %        |
|                 ('Alive', '(73.473, 76.336]', 'Street Tree', 'NoDamage')                 |       10.26 %        |
|                  ('Alive', '(73.473, 76.336]', 'OnCurb', 'NoProblems')                   |       11.84 %        |
|                   ('Alive', '(73.473, 76.336]', 'OnCurb', 'Brooklyn')                    |        9.46 %        |
|                      ('Alive', '(73.473, 76.336]', 'OnCurb', 2018)                       |       13.54 %        |
|                   ('Alive', '(73.473, 76.336]', 'OnCurb', 'NoDamage')                    |       12.64 %        |
|                    ('Alive', '(73.473, 76.336]', 'NoProblems', 2018)                     |        9.08 %        |
|                 ('Alive', '(73.473, 76.336]', 'NoProblems', 'NoDamage')                  |        9.6 %         |
|                     ('Alive', '(73.473, 76.336]', 2018, 'NoDamage')                      | 9.719999999999999 %  |
|                     ('Alive', 'Volunteer', 'Street Tree', 'OnCurb')                      |        21.5 %        |
|                   ('Alive', 'Volunteer', 'Street Tree', 'NoProblems')                    |       10.82 %        |
|                    ('Alive', 'Volunteer', 'Street Tree', 'Brooklyn')                     | 11.219999999999999 % |
|                       ('Alive', 'Volunteer', 'Street Tree', 2019)                        | 13.320000000000002 % |
|                       ('Alive', 'Volunteer', 'Street Tree', 2018)                        |        9.42 %        |
|                    ('Alive', 'Volunteer', 'Street Tree', 'NoDamage')                     |       14.32 %        |
|                        ('Alive', 'Volunteer', 'Damage', 'OnCurb')                        |       10.76 %        |
|                      ('Alive', 'Volunteer', 'OnCurb', 'NoProblems')                      |        13.4 %        |
|                       ('Alive', 'Volunteer', 'OnCurb', 'Brooklyn')                       | 14.099999999999998 % |
|                          ('Alive', 'Volunteer', 'OnCurb', 2019)                          |       16.54 %        |
|                          ('Alive', 'Volunteer', 'OnCurb', 2018)                          |        11.5 %        |
|                       ('Alive', 'Volunteer', 'OnCurb', 'NoDamage')                       |       17.28 %        |
|                     ('Alive', 'Volunteer', 'NoProblems', 'NoDamage')                     |       10.34 %        |
|                         ('Alive', 'Volunteer', 'Brooklyn', 2019)                         |        9.0 %         |
|                         ('Alive', 'Volunteer', 2019, 'NoDamage')                         |       10.84 %        |
|                     ('Alive', 'Manhattan', 'Street Tree', 'OnCurb')                      |       10.52 %        |
|                    ('Alive', 'honeylocust', 'Street Tree', 'OnCurb')                     |        9.44 %        |
|                    ('Alive', '(16.0, 59.0]', 'Street Tree', 'OnCurb')                    |       11.98 %        |
|                     ('Alive', '(16.0, 59.0]', 'OnCurb', 'Brooklyn')                      | 10.040000000000001 % |
|                  ('Alive', '(76.336, 82.603]', 'Street Tree', 'OnCurb')                  |       13.52 %        |
|                ('Alive', '(76.336, 82.603]', 'Street Tree', 'NoProblems')                |        9.26 %        |
|                 ('Alive', '(76.336, 82.603]', 'Street Tree', 'NoDamage')                 | 9.959999999999999 %  |
|                  ('Alive', '(76.336, 82.603]', 'OnCurb', 'NoProblems')                   |       11.66 %        |
|                   ('Alive', '(76.336, 82.603]', 'OnCurb', 'Brooklyn')                    |        9.64 %        |
|                      ('Alive', '(76.336, 82.603]', 'OnCurb', 2019)                       |        9.82 %        |
|                   ('Alive', '(76.336, 82.603]', 'OnCurb', 'NoDamage')                    |       12.24 %        |
|                 ('Alive', '(76.336, 82.603]', 'NoProblems', 'NoDamage')                  |        9.82 %        |
|          ('Alive', 'London planetree', 'Street Tree', 'Platanus x acerifolia')           |        9.64 %        |
|             ('Alive', 'London planetree', 'OnCurb', 'Platanus x acerifolia')             |       11.32 %        |
|                        ('Alive', 'BK82', 'Street Tree', 'OnCurb')                        |        9.9 %         |
|                       ('Alive', 'BK82', 'Street Tree', 'Brooklyn')                       |       10.34 %        |
|                         ('Alive', 'BK82', 'OnCurb', 'Brooklyn')                          |       11.72 %        |
|                   ('Alive', '(-0.001, 4.0]', 'Street Tree', 'OnCurb')                    |       21.32 %        |
|                 ('Alive', '(-0.001, 4.0]', 'Street Tree', 'NoProblems')                  | 18.459999999999997 % |
|                  ('Alive', '(-0.001, 4.0]', 'Street Tree', 'Brooklyn')                   |        12.5 %        |
|                     ('Alive', '(-0.001, 4.0]', 'Street Tree', 2019)                      |       11.48 %        |
|                     ('Alive', '(-0.001, 4.0]', 'Street Tree', 2018)                      |       10.58 %        |
|              ('Alive', '(-0.001, 4.0]', 'Street Tree', 'TreesCount Staff')               |       11.12 %        |
|                  ('Alive', '(-0.001, 4.0]', 'Street Tree', 'NoDamage')                   |        17.5 %        |
|                    ('Alive', '(-0.001, 4.0]', 'OnCurb', 'NoProblems')                    |        23.1 %        |
|                     ('Alive', '(-0.001, 4.0]', 'OnCurb', 'Brooklyn')                     | 15.340000000000002 % |
|                        ('Alive', '(-0.001, 4.0]', 'OnCurb', 2019)                        |       14.52 %        |
|                        ('Alive', '(-0.001, 4.0]', 'OnCurb', 2018)                        |       13.34 %        |
|                 ('Alive', '(-0.001, 4.0]', 'OnCurb', 'TreesCount Staff')                 |       13.76 %        |
|                     ('Alive', '(-0.001, 4.0]', 'OnCurb', 'NoDamage')                     |       22.08 %        |
|                   ('Alive', '(-0.001, 4.0]', 'NoProblems', 'Brooklyn')                   | 13.459999999999999 % |
|                      ('Alive', '(-0.001, 4.0]', 'NoProblems', 2019)                      |       12.24 %        |
|                      ('Alive', '(-0.001, 4.0]', 'NoProblems', 2018)                      |       11.84 %        |
|               ('Alive', '(-0.001, 4.0]', 'NoProblems', 'TreesCount Staff')               | 12.839999999999998 % |
|                   ('Alive', '(-0.001, 4.0]', 'NoProblems', 'NoDamage')                   | 19.900000000000002 % |
|                    ('Alive', '(-0.001, 4.0]', 'Brooklyn', 'NoDamage')                    | 12.659999999999998 % |
|                       ('Alive', '(-0.001, 4.0]', 2019, 'NoDamage')                       |       11.86 %        |
|                       ('Alive', '(-0.001, 4.0]', 2018, 'NoDamage')                       |       11.14 %        |
|                ('Alive', '(-0.001, 4.0]', 'TreesCount Staff', 'NoDamage')                |       11.32 %        |
|                        ('Alive', 'Fair', 'Street Tree', 'OnCurb')                        |        10.9 %        |
|                       ('Alive', 'Street Tree', 'Stones', 'OnCurb')                       |        9.42 %        |
|                  ('Alive', 'Street Tree', '(82.603, 95.183]', 'OnCurb')                  | 13.320000000000002 % |
|                    ('Alive', 'Street Tree', '(82.603, 95.183]', 2019)                    |        9.56 %        |
|                  ('Alive', 'Street Tree', 'NYC Parks Staff', 'OnCurb')                   |       17.98 %        |
|                ('Alive', 'Street Tree', 'NYC Parks Staff', 'NoProblems')                 |       12.86 %        |
|                 ('Alive', 'Street Tree', 'NYC Parks Staff', 'Brooklyn')                  |       11.24 %        |
|                    ('Alive', 'Street Tree', 'NYC Parks Staff', 2019)                     |        9.04 %        |
|                    ('Alive', 'Street Tree', 'NYC Parks Staff', 2018)                     |        9.8 %         |
|                 ('Alive', 'Street Tree', 'NYC Parks Staff', 'NoDamage')                  | 12.879999999999999 % |
|                       ('Alive', 'Street Tree', 'Damage', 'OnCurb')                       | 23.380000000000003 % |
|                     ('Alive', 'Street Tree', 'Damage', 'NoProblems')                     |       11.32 %        |
|                      ('Alive', 'Street Tree', 'Damage', 'Brooklyn')                      |        13.0 %        |
|                         ('Alive', 'Street Tree', 'Damage', 2019)                         | 12.520000000000001 % |
|                         ('Alive', 'Street Tree', 'Damage', 2018)                         | 11.700000000000001 % |
|                  ('Alive', 'Street Tree', 'Damage', 'TreesCount Staff')                  |        9.84 %        |
|                     ('Alive', 'Street Tree', 'OnCurb', 'NoProblems')                     |        44.2 %        |
|                      ('Alive', 'Street Tree', 'OnCurb', 'Brooklyn')                      |       35.74 %        |
|                  ('Alive', 'Street Tree', 'OnCurb', '(71.353, 73.473]')                  |       13.86 %        |
|                         ('Alive', 'Street Tree', 'OnCurb', 2019)                         |       35.02 %        |
|                         ('Alive', 'Street Tree', 'OnCurb', 2018)                         |       34.42 %        |
|                       ('Alive', 'Street Tree', 'OnCurb', 'Bronx')                        |       14.26 %        |
|                     ('Alive', 'Street Tree', 'OnCurb', '(4.0, 6.0]')                     | 11.219999999999999 % |
|                  ('Alive', 'Street Tree', 'OnCurb', 'TreesCount Staff')                  | 29.959999999999997 % |
|                      ('Alive', 'Street Tree', 'OnCurb', 'NoDamage')                      |       46.06 %        |
|            ('Alive', 'Street Tree', 'OnCurb', '(52.443000000000005, 71.353]')            |       14.16 %        |
|                    ('Alive', 'Street Tree', 'NoProblems', 'Brooklyn')                    |       23.22 %        |
|                ('Alive', 'Street Tree', 'NoProblems', '(71.353, 73.473]')                |        9.2 %         |
|                       ('Alive', 'Street Tree', 'NoProblems', 2019)                       |       22.64 %        |
|                       ('Alive', 'Street Tree', 'NoProblems', 2018)                       |       24.02 %        |
|                     ('Alive', 'Street Tree', 'NoProblems', 'Bronx')                      |       10.34 %        |
|                ('Alive', 'Street Tree', 'NoProblems', 'TreesCount Staff')                |       22.98 %        |
|                    ('Alive', 'Street Tree', 'NoProblems', 'NoDamage')                    | 35.339999999999996 % |
|          ('Alive', 'Street Tree', 'NoProblems', '(52.443000000000005, 71.353]')          | 9.700000000000001 %  |
|                        ('Alive', 'Street Tree', 'Brooklyn', 2019)                        |       21.14 %        |
|                        ('Alive', 'Street Tree', 'Brooklyn', 2018)                        |       16.16 %        |
|                 ('Alive', 'Street Tree', 'Brooklyn', 'TreesCount Staff')                 |       14.84 %        |
|                     ('Alive', 'Street Tree', 'Brooklyn', 'NoDamage')                     |        24.3 %        |
|                 ('Alive', 'Street Tree', '(71.353, 73.473]', 'NoDamage')                 |        9.46 %        |
|                    ('Alive', 'Street Tree', 2019, 'TreesCount Staff')                    |       14.24 %        |
|                        ('Alive', 'Street Tree', 2019, 'NoDamage')                        |       24.08 %        |
|                    ('Alive', 'Street Tree', 2018, 'TreesCount Staff')                    |       17.14 %        |
|                        ('Alive', 'Street Tree', 2018, 'NoDamage')                        |       24.66 %        |
|                      ('Alive', 'Street Tree', 'Bronx', 'NoDamage')                       |       10.24 %        |
|                    ('Alive', 'Street Tree', '(4.0, 6.0]', 'NoDamage')                    |        9.1 %         |
|                 ('Alive', 'Street Tree', 'TreesCount Staff', 'NoDamage')                 |       21.54 %        |
|           ('Alive', 'Street Tree', 'NoDamage', '(52.443000000000005, 71.353]')           |       10.14 %        |
|                  ('Alive', '(82.603, 95.183]', 'OnCurb', 'NoProblems')                   | 11.459999999999999 % |
|                   ('Alive', '(82.603, 95.183]', 'OnCurb', 'Brooklyn')                    |        9.16 %        |
|                      ('Alive', '(82.603, 95.183]', 'OnCurb', 2019)                       |        12.0 %        |
|                   ('Alive', '(82.603, 95.183]', 'OnCurb', 'NoDamage')                    |       11.32 %        |
|                   ('Alive', 'NYC Parks Staff', 'OnCurb', 'NoProblems')                   |       16.32 %        |
|                    ('Alive', 'NYC Parks Staff', 'OnCurb', 'Brooklyn')                    |        13.8 %        |
|                       ('Alive', 'NYC Parks Staff', 'OnCurb', 2019)                       |       11.48 %        |
|                       ('Alive', 'NYC Parks Staff', 'OnCurb', 2018)                       | 12.740000000000002 % |
|                    ('Alive', 'NYC Parks Staff', 'OnCurb', 'NoDamage')                    |       16.56 %        |
|                  ('Alive', 'NYC Parks Staff', 'NoProblems', 'Brooklyn')                  |        9.64 %        |
|                     ('Alive', 'NYC Parks Staff', 'NoProblems', 2018)                     |        9.2 %         |
|                  ('Alive', 'NYC Parks Staff', 'NoProblems', 'NoDamage')                  |       13.36 %        |
|                   ('Alive', 'NYC Parks Staff', 'Brooklyn', 'NoDamage')                   |        9.48 %        |
|                      ('Alive', 'NYC Parks Staff', 2018, 'NoDamage')                      |        9.42 %        |
|                       ('Alive', 'Damage', 'OnCurb', 'NoProblems')                        |       14.34 %        |
|                        ('Alive', 'Damage', 'OnCurb', 'Brooklyn')                         | 16.939999999999998 % |
|                           ('Alive', 'Damage', 'OnCurb', 2019)                            |       16.34 %        |
|                           ('Alive', 'Damage', 'OnCurb', 2018)                            |       15.02 %        |
|                    ('Alive', 'Damage', 'OnCurb', 'TreesCount Staff')                     |       12.94 %        |
|                          ('Alive', 'Damage', 'Brooklyn', 2019)                           |        9.92 %        |
|                      ('Alive', 'OnCurb', 'NoProblems', 'Brooklyn')                       | 29.099999999999998 % |
|                     ('Alive', 'OnCurb', 'NoProblems', 'Light Pole')                      | 14.540000000000001 % |
|                  ('Alive', 'OnCurb', 'NoProblems', '(71.353, 73.473]')                   |       11.72 %        |
|                         ('Alive', 'OnCurb', 'NoProblems', 2019)                          |       29.04 %        |
|                         ('Alive', 'OnCurb', 'NoProblems', 2018)                          |        29.7 %        |
|                        ('Alive', 'OnCurb', 'NoProblems', 'Bronx')                        | 15.079999999999998 % |
|                     ('Alive', 'OnCurb', 'NoProblems', '(4.0, 6.0]')                      |        10.2 %        |
|                  ('Alive', 'OnCurb', 'NoProblems', 'TreesCount Staff')                   | 29.020000000000003 % |
|                      ('Alive', 'OnCurb', 'NoProblems', 'NoDamage')                       |        44.4 %        |
|            ('Alive', 'OnCurb', 'NoProblems', '(52.443000000000005, 71.353]')             |       11.82 %        |
|                          ('Alive', 'OnCurb', 11212, 'Brooklyn')                          |        9.9 %         |
|                      ('Alive', 'OnCurb', 'Brooklyn', 'Light Pole')                       |        11.1 %        |
|                   ('Alive', 'OnCurb', 'Brooklyn', '(71.353, 73.473]')                    |        9.86 %        |
|                          ('Alive', 'OnCurb', 'Brooklyn', 2019)                           |       26.32 %        |
|                          ('Alive', 'OnCurb', 'Brooklyn', 2018)                           |       20.52 %        |
|                   ('Alive', 'OnCurb', 'Brooklyn', 'TreesCount Staff')                    |       18.94 %        |
|                       ('Alive', 'OnCurb', 'Brooklyn', 'NoDamage')                        |        29.9 %        |
|                         ('Alive', 'OnCurb', 'Light Pole', 2019)                          | 11.559999999999999 % |
|                         ('Alive', 'OnCurb', 'Light Pole', 2018)                          |       11.26 %        |
|                  ('Alive', 'OnCurb', 'Light Pole', 'TreesCount Staff')                   | 10.040000000000001 % |
|                      ('Alive', 'OnCurb', 'Light Pole', 'NoDamage')                       |       14.84 %        |
|                      ('Alive', 'OnCurb', '(71.353, 73.473]', 2019)                       |       10.24 %        |
|                   ('Alive', 'OnCurb', '(71.353, 73.473]', 'NoDamage')                    | 11.959999999999999 % |
|                            ('Alive', 'OnCurb', 2019, 'Bronx')                            |        10.0 %        |
|                      ('Alive', 'OnCurb', 2019, 'TreesCount Staff')                       |       18.56 %        |
|                          ('Alive', 'OnCurb', 2019, 'NoDamage')                           | 30.240000000000002 % |
|                ('Alive', 'OnCurb', 2019, '(52.443000000000005, 71.353]')                 |        9.24 %        |
|                            ('Alive', 'OnCurb', 2018, 'Bronx')                            | 12.540000000000001 % |
|                      ('Alive', 'OnCurb', 2018, 'TreesCount Staff')                       |       21.44 %        |
|                          ('Alive', 'OnCurb', 2018, 'NoDamage')                           | 30.659999999999997 % |
|                ('Alive', 'OnCurb', 2018, '(52.443000000000005, 71.353]')                 |        9.02 %        |
|                     ('Alive', 'OnCurb', 'Bronx', 'TreesCount Staff')                     |       11.82 %        |
|                         ('Alive', 'OnCurb', 'Bronx', 'NoDamage')                         |       15.14 %        |
|                      ('Alive', 'OnCurb', '(4.0, 6.0]', 'NoDamage')                       |       11.42 %        |
|                   ('Alive', 'OnCurb', 'TreesCount Staff', 'NoDamage')                    | 27.060000000000002 % |
|             ('Alive', 'OnCurb', 'NoDamage', '(52.443000000000005, 71.353]')              |        12.4 %        |
|                        ('Alive', 'NoProblems', 'Brooklyn', 2019)                         |        17.0 %        |
|                        ('Alive', 'NoProblems', 'Brooklyn', 2018)                         |       13.74 %        |
|                 ('Alive', 'NoProblems', 'Brooklyn', 'TreesCount Staff')                  | 13.780000000000001 % |
|                     ('Alive', 'NoProblems', 'Brooklyn', 'NoDamage')                      |       23.28 %        |
|                    ('Alive', 'NoProblems', 'Light Pole', 'NoDamage')                     |        12.0 %        |
|                 ('Alive', 'NoProblems', '(71.353, 73.473]', 'NoDamage')                  |        9.22 %        |
|                    ('Alive', 'NoProblems', 2019, 'TreesCount Staff')                     |       14.24 %        |
|                        ('Alive', 'NoProblems', 2019, 'NoDamage')                         |       23.26 %        |
|                          ('Alive', 'NoProblems', 2018, 'Bronx')                          |        9.08 %        |
|                    ('Alive', 'NoProblems', 2018, 'TreesCount Staff')                     | 16.520000000000003 % |
|                        ('Alive', 'NoProblems', 2018, 'NoDamage')                         |       24.08 %        |
|                   ('Alive', 'NoProblems', 'Bronx', 'TreesCount Staff')                   | 9.959999999999999 %  |
|                       ('Alive', 'NoProblems', 'Bronx', 'NoDamage')                       | 12.139999999999999 % |
|                 ('Alive', 'NoProblems', 'TreesCount Staff', 'NoDamage')                  |       23.64 %        |
|           ('Alive', 'NoProblems', 'NoDamage', '(52.443000000000005, 71.353]')            |        9.58 %        |
