Parameters:
Minimum support         : 0.09
Minimum confidence      : 0.7
========================================

Computing frequent itemsets from dataset...
+-------------------------------------------------------------------------------------------------------------------------------------------------+
|                                                         Frequent itemsets (min_sup=0.09)                                                        |
+-------------------------------------------------------------------------------------------------------------------------------------+-----------+
|                                                               Itemset                                                               | Support % |
|                                      Health: Good, OnCurb, Problems: None, 2019, Status: Alive                                      | 23.9140 % |
|                                           Sidewalk: No Sidewalk: Damage, Street Tree, 2019                                          | 23.7240 % |
|                                   Sidewalk: No Sidewalk: Damage, Street Tree, 2019, Status: Alive                                   | 23.7240 % |
|                                                    Sidewalk: Damage, Street Tree                                                    | 23.6300 % |
|                                             Sidewalk: Damage, Street Tree, Status: Alive                                            | 23.6300 % |
|                                            Health: Good, OnCurb, Problems: None, Brooklyn                                           | 23.6120 % |
|                                    Health: Good, OnCurb, Problems: None, Brooklyn, Status: Alive                                    | 23.6120 % |
|                                     Tree Diameter: (-0.001, 4.0], Sidewalk: No Sidewalk: Damage                                     | 23.5880 % |
|                              Tree Diameter: (-0.001, 4.0], Sidewalk: No Sidewalk: Damage, Status: Alive                             | 23.5880 % |
|                                              Tree Diameter: (-0.001, 4.0], Street Tree                                              | 23.5440 % |
|                                         Tree Diameter: (-0.001, 4.0], OnCurb, Problems: None                                        | 23.5340 % |
|                                 Tree Diameter: (-0.001, 4.0], OnCurb, Problems: None, Status: Alive                                 | 23.5340 % |
|                                         Sidewalk: No Sidewalk: Damage, Street Tree, Brooklyn                                        | 23.4840 % |
|                                 Sidewalk: No Sidewalk: Damage, Street Tree, Brooklyn, Status: Alive                                 | 23.4840 % |
|                                                     OnCurb, Bronx, Status: Alive                                                    | 23.4340 % |
|                            Sidewalk: No Sidewalk: Damage, Problems: None, Surveyor Type: TreesCount Staff                           | 23.4200 % |
|                    Sidewalk: No Sidewalk: Damage, Problems: None, Surveyor Type: TreesCount Staff, Status: Alive                    | 23.4200 % |
|                                                Surveyor Type: Volunteer, Street Tree                                                | 23.2820 % |
|                                  Health: Good, OnCurb, Street Tree, Surveyor Type: TreesCount Staff                                 | 23.1840 % |
|                          Health: Good, OnCurb, Street Tree, Surveyor Type: TreesCount Staff, Status: Alive                          | 23.1840 % |
|                                         Sidewalk: No Sidewalk: Damage, Problems: None, 2019                                         | 23.1500 % |
|                                  Sidewalk: No Sidewalk: Damage, Problems: None, 2019, Status: Alive                                 | 23.1500 % |
|                                Health: Good, OnCurb, Problems: None, Surveyor Type: TreesCount Staff                                | 23.1120 % |
|                         Health: Good, OnCurb, Problems: None, Surveyor Type: TreesCount Staff, Status: Alive                        | 23.1120 % |
|                                                  Problems: None, Street Tree, 2018                                                  | 23.0220 % |
|                                           Problems: None, Street Tree, 2018, Status: Alive                                          | 23.0220 % |
|                                       Sidewalk: No Sidewalk: Damage, OnCurb, Street Tree, 2018                                      | 23.0180 % |
|                               Sidewalk: No Sidewalk: Damage, OnCurb, Street Tree, 2018, Status: Alive                               | 23.0180 % |
|                                                Sidewalk: Damage, OnCurb, Street Tree                                                | 22.8460 % |
|                                         Sidewalk: Damage, OnCurb, Street Tree, Status: Alive                                        | 22.8460 % |
|                                            Health: Good, Surveyor Type: Volunteer, OnCurb                                           | 22.8240 % |
|                                    Health: Good, Surveyor Type: Volunteer, OnCurb, Status: Alive                                    | 22.8240 % |
|                             Health: Good, Sidewalk: No Sidewalk: Damage, Surveyor Type: TreesCount Staff                            | 22.8080 % |
|                     Health: Good, Sidewalk: No Sidewalk: Damage, Surveyor Type: TreesCount Staff, Status: Alive                     | 22.8080 % |
|                                 Tree Diameter: (-0.001, 4.0], Sidewalk: No Sidewalk: Damage, OnCurb                                 | 22.7520 % |
|                                          Tree Diameter: (-0.001, 4.0], OnCurb, Street Tree                                          | 22.7520 % |
|                          Tree Diameter: (-0.001, 4.0], Sidewalk: No Sidewalk: Damage, OnCurb, Status: Alive                         | 22.7520 % |
|                                         Surveyor Type: Volunteer, Street Tree, Status: Alive                                        | 22.6560 % |
|                                     Sidewalk: No Sidewalk: Damage, OnCurb, Problems: None, 2018                                     | 22.6400 % |
|                              Sidewalk: No Sidewalk: Damage, OnCurb, Problems: None, 2018, Status: Alive                             | 22.6400 % |
|                                                Surveyor Type: TreesCount Staff, 2018                                                | 22.5880 % |
|                                       Sidewalk: No Sidewalk: Damage, OnCurb, Street Tree, 2019                                      | 22.4420 % |
|                               Sidewalk: No Sidewalk: Damage, OnCurb, Street Tree, 2019, Status: Alive                               | 22.4420 % |
|                                                     Health: Good, Brooklyn, 2019                                                    | 22.3560 % |
|                                             Health: Good, Brooklyn, 2019, Status: Alive                                             | 22.3560 % |
|                                              Tree Diameter: (-0.001, 4.0], Health: Good                                             | 22.2860 % |
|                                      Tree Diameter: (-0.001, 4.0], Health: Good, Status: Alive                                      | 22.2860 % |
|                                     Sidewalk: No Sidewalk: Damage, OnCurb, Street Tree, Brooklyn                                    | 22.2340 % |
|                             Sidewalk: No Sidewalk: Damage, OnCurb, Street Tree, Brooklyn, Status: Alive                             | 22.2340 % |
