Parameters:
Minimum support         : 0.09
Minimum confidence      : 0.7
========================================

Computing frequent itemsets from dataset...
+-------------------------------------------------------------------------------------------------------------------------------------------------+
|                                                         Frequent itemsets (min_sup=0.09)                                                        |
+-------------------------------------------------------------------------------------------------------------------------------------+-----------+
|                                                               Itemset                                                               | Support % |
|                                   Sidewalk: No Sidewalk: Damage, OnCurb, Problems: None, Brooklyn                                   | 20.9340 % |
|                            Sidewalk: No Sidewalk: Damage, OnCurb, Problems: None, Brooklyn, Status: Alive                           | 20.9340 % |
|                                             Surveyor Type: NYC Parks Staff, Health: Good                                            | 20.9240 % |
|                                     Surveyor Type: NYC Parks Staff, Health: Good, Status: Alive                                     | 20.9240 % |
|                                                       Health: Good, Light Pole                                                      | 20.6500 % |
|                                               Health: Good, Status: Alive, Light Pole                                               | 20.6500 % |
|                                              Street Tree, Brooklyn, 2019, Status: Alive                                             | 20.6500 % |
|                                                        OnCurb, Brooklyn, 2018                                                       | 20.5200 % |
|                         Sidewalk: No Sidewalk: Damage, OnCurb, Street Tree, Surveyor Type: TreesCount Staff                         | 20.2560 % |
|                                                 OnCurb, Street Tree, Brooklyn, 2019                                                 | 20.2560 % |
|                  Sidewalk: No Sidewalk: Damage, OnCurb, Street Tree, Surveyor Type: TreesCount Staff, Status: Alive                 | 20.2560 % |
|                             Tree Diameter: (-0.001, 4.0], Sidewalk: No Sidewalk: Damage, Problems: None                             | 20.1780 % |
|                      Tree Diameter: (-0.001, 4.0], Sidewalk: No Sidewalk: Damage, Problems: None, Status: Alive                     | 20.1780 % |
|                                                OnCurb, Brooklyn, 2018, Status: Alive                                                | 20.1000 % |
|                                         Surveyor Type: NYC Parks Staff, Health: Good, OnCurb                                        | 20.0560 % |
|                                 Surveyor Type: NYC Parks Staff, Health: Good, OnCurb, Status: Alive                                 | 20.0560 % |
|                                                Surveyor Type: TreesCount Staff, 2019                                                | 20.0520 % |
|                                  Health: Good, Sidewalk: No Sidewalk: Damage, Problems: None, 2018                                  | 19.9920 % |
|                           Health: Good, Sidewalk: No Sidewalk: Damage, Problems: None, 2018, Status: Alive                          | 19.9920 % |
|                                                             (9.0, 15.0]                                                             | 19.9900 % |
|                                                           (71.414, 73.558]                                                          | 19.9180 % |
|                                                     (52.443000000000005, 71.414]                                                    | 19.9180 % |
|                                                           (76.299, 82.743]                                                          | 19.9160 % |
|                                                           (73.558, 76.299]                                                          | 19.9140 % |
|                                                           (82.743, 95.695]                                                          | 19.9100 % |
|                                                             (15.0, 99.0]                                                            | 19.8660 % |
|                                                      (9.0, 15.0], Status: Alive                                                     | 19.8160 % |
|                                                     (15.0, 99.0], Status: Alive                                                     | 19.7960 % |
|                                          OnCurb, Street Tree, Brooklyn, 2019, Status: Alive                                         | 19.7860 % |
|                                                              (5.0, 9.0]                                                             | 19.7660 % |
|                                                   Health: Good, OnCurb, Light Pole                                                  | 19.6860 % |
|                                           Health: Good, OnCurb, Status: Alive, Light Pole                                           | 19.6860 % |
|                                         Surveyor Type: TreesCount Staff, 2019, Status: Alive                                        | 19.5080 % |
|                                                      (5.0, 9.0], Status: Alive                                                      | 19.5040 % |
|                                    Health: Good, Sidewalk: No Sidewalk: Damage, Street Tree, 2018                                   | 19.4620 % |
|                            Health: Good, Sidewalk: No Sidewalk: Damage, Street Tree, 2018, Status: Alive                            | 19.4620 % |
|                                                   (71.414, 73.558], Status: Alive                                                   | 19.4560 % |
|                         Tree Diameter: (-0.001, 4.0], Sidewalk: No Sidewalk: Damage, OnCurb, Problems: None                         | 19.4020 % |
|                  Tree Diameter: (-0.001, 4.0], Sidewalk: No Sidewalk: Damage, OnCurb, Problems: None, Status: Alive                 | 19.4020 % |
|                                                         Health: Good, Bronx                                                         | 19.3600 % |
|                                                  Health: Good, Bronx, Status: Alive                                                 | 19.3600 % |
|                                             (52.443000000000005, 71.414], Status: Alive                                             | 19.3560 % |
|                                                   (82.743, 95.695], Status: Alive                                                   | 19.3540 % |
|                                                   (76.299, 82.743], Status: Alive                                                   | 19.3440 % |
|                                  Health: Good, Sidewalk: No Sidewalk: Damage, Problems: None, 2019                                  | 19.3440 % |
|                           Health: Good, Sidewalk: No Sidewalk: Damage, Problems: None, 2019, Status: Alive                          | 19.3440 % |
|                                                   (73.558, 76.299], Status: Alive                                                   | 19.3280 % |
|                                      Tree Diameter: (-0.001, 4.0], Health: Good, Problems: None                                     | 19.2700 % |
|                              Tree Diameter: (-0.001, 4.0], Health: Good, Problems: None, Status: Alive                              | 19.2700 % |
|                                                         OnCurb, (9.0, 15.0]                                                         | 19.1840 % |
|                                  Health: Good, Sidewalk: No Sidewalk: Damage, Street Tree, Brooklyn                                 | 19.1500 % |
|                          Health: Good, Sidewalk: No Sidewalk: Damage, Street Tree, Brooklyn, Status: Alive                          | 19.1500 % |
|                     Health: Good, Sidewalk: No Sidewalk: Damage, Problems: None, Surveyor Type: TreesCount Staff                    | 19.1320 % |
|             Health: Good, Sidewalk: No Sidewalk: Damage, Problems: None, Surveyor Type: TreesCount Staff, Status: Alive             | 19.1320 % |
|                                            OnCurb, Surveyor Type: TreesCount Staff, 2019                                            | 19.1040 % |
|                                           Health: Good, Problems: None, Street Tree, 2018                                           | 19.0520 % |
|                                    Health: Good, Problems: None, Street Tree, 2018, Status: Alive                                   | 19.0520 % |
|                                              Brooklyn, Surveyor Type: TreesCount Staff                                              | 19.0400 % |
|                                                  OnCurb, (9.0, 15.0], Status: Alive                                                 | 19.0100 % |
|                                                 OnCurb, (52.443000000000005, 71.414]                                                | 19.0060 % |
|                                                       (82.743, 95.695], OnCurb                                                      | 18.9820 % |
|                                                       (76.299, 82.743], OnCurb                                                      | 18.9820 % |
|                                                       OnCurb, (71.414, 73.558]                                                      | 18.9640 % |
|                                                       OnCurb, (73.558, 76.299]                                                      | 18.9620 % |
|                                    Health: Good, Sidewalk: No Sidewalk: Damage, Street Tree, 2019                                   | 18.9600 % |
|                            Health: Good, Sidewalk: No Sidewalk: Damage, Street Tree, 2019, Status: Alive                            | 18.9600 % |
|                                                          (5.0, 9.0], OnCurb                                                         | 18.9340 % |
|                              Health: Good, Sidewalk: No Sidewalk: Damage, OnCurb, Problems: None, 2018                              | 18.8700 % |
|                       Health: Good, Sidewalk: No Sidewalk: Damage, OnCurb, Problems: None, 2018, Status: Alive                      | 18.8700 % |
|                                       Surveyor Type: Volunteer, Sidewalk: No Sidewalk: Damage                                       | 18.8320 % |
|                                Surveyor Type: Volunteer, Sidewalk: No Sidewalk: Damage, Status: Alive                               | 18.8320 % |
|                                Health: Good, Sidewalk: No Sidewalk: Damage, Problems: None, Brooklyn                                | 18.8100 % |
|                         Health: Good, Sidewalk: No Sidewalk: Damage, Problems: None, Brooklyn, Status: Alive                        | 18.8100 % |
|                                             Sidewalk: Damage, Health: Good, Street Tree                                             | 18.7620 % |
|                                      Sidewalk: Damage, Health: Good, Street Tree, Status: Alive                                     | 18.7620 % |
|                                             Surveyor Type: NYC Parks Staff, Street Tree                                             | 18.7260 % |
|                                                  (5.0, 9.0], OnCurb, Status: Alive                                                  | 18.6980 % |
|                                  Tree Diameter: (-0.001, 4.0], Health: Good, OnCurb, Problems: None                                 | 18.6260 % |
|                          Tree Diameter: (-0.001, 4.0], Health: Good, OnCurb, Problems: None, Status: Alive                          | 18.6260 % |
|                                     OnCurb, Surveyor Type: TreesCount Staff, 2019, Status: Alive                                    | 18.6080 % |
|                                       Brooklyn, Surveyor Type: TreesCount Staff, Status: Alive                                      | 18.5900 % |
|                                         Health: Good, Problems: None, Street Tree, Brooklyn                                         | 18.5480 % |
|                                  Health: Good, Problems: None, Street Tree, Brooklyn, Status: Alive                                 | 18.5480 % |
|                                               OnCurb, (71.414, 73.558], Status: Alive                                               | 18.5240 % |
|                                         OnCurb, (52.443000000000005, 71.414], Status: Alive                                         | 18.4600 % |
|                                               (82.743, 95.695], OnCurb, Status: Alive                                               | 18.4560 % |
|                                               (76.299, 82.743], OnCurb, Status: Alive                                               | 18.4280 % |
|                                Health: Good, Sidewalk: No Sidewalk: Damage, OnCurb, Street Tree, 2018                               | 18.4260 % |
|                        Health: Good, Sidewalk: No Sidewalk: Damage, OnCurb, Street Tree, 2018, Status: Alive                        | 18.4260 % |
|                                               OnCurb, (73.558, 76.299], Status: Alive                                               | 18.4060 % |
|                                                     Health: Good, OnCurb, Bronx                                                     | 18.3600 % |
|                                              Health: Good, OnCurb, Bronx, Status: Alive                                             | 18.3600 % |
|                                           Health: Good, Problems: None, Street Tree, 2019                                           | 18.3420 % |
|                                    Health: Good, Problems: None, Street Tree, 2019, Status: Alive                                   | 18.3420 % |
|                              Health: Good, Sidewalk: No Sidewalk: Damage, OnCurb, Problems: None, 2019                              | 18.3300 % |
|                       Health: Good, Sidewalk: No Sidewalk: Damage, OnCurb, Problems: None, 2019, Status: Alive                      | 18.3300 % |
|                                      Tree Diameter: (-0.001, 4.0], Problems: None, Street Tree                                      | 18.3100 % |
|                               Tree Diameter: (-0.001, 4.0], Problems: None, Street Tree, Status: Alive                              | 18.3100 % |
|                                                         OnCurb, (15.0, 99.0]                                                        | 18.2140 % |
|                                      Surveyor Type: NYC Parks Staff, Street Tree, Status: Alive                                     | 18.1960 % |
|                              Health: Good, Sidewalk: No Sidewalk: Damage, OnCurb, Street Tree, Brooklyn                             | 18.1920 % |
|                      Health: Good, Sidewalk: No Sidewalk: Damage, OnCurb, Street Tree, Brooklyn, Status: Alive                      | 18.1920 % |
|                                         Sidewalk: Damage, Health: Good, OnCurb, Street Tree                                         | 18.1740 % |
|                                  Sidewalk: Damage, Health: Good, OnCurb, Street Tree, Status: Alive                                 | 18.1740 % |
|                                          OnCurb, Brooklyn, Surveyor Type: TreesCount Staff                                          | 18.1700 % |
|                                                 OnCurb, (15.0, 99.0], Status: Alive                                                 | 18.1500 % |
|                              Tree Diameter: (-0.001, 4.0], Health: Good, Sidewalk: No Sidewalk: Damage                              | 18.1480 % |
|                       Tree Diameter: (-0.001, 4.0], Health: Good, Sidewalk: No Sidewalk: Damage, Status: Alive                      | 18.1480 % |
|                                       Health: Good, OnCurb, Problems: None, Street Tree, 2018                                       | 18.1260 % |
|                                Health: Good, OnCurb, Problems: None, Street Tree, 2018, Status: Alive                               | 18.1260 % |
|                              Health: Good, Problems: None, Street Tree, Surveyor Type: TreesCount Staff                             | 17.9900 % |
|                 Health: Good, Sidewalk: No Sidewalk: Damage, OnCurb, Problems: None, Surveyor Type: TreesCount Staff                | 17.9900 % |
|                      Health: Good, Problems: None, Street Tree, Surveyor Type: TreesCount Staff, Status: Alive                      | 17.9900 % |
|         Health: Good, Sidewalk: No Sidewalk: Damage, OnCurb, Problems: None, Surveyor Type: TreesCount Staff, Status: Alive         | 17.9900 % |
|                                         Surveyor Type: NYC Parks Staff, OnCurb, Street Tree                                         | 17.9720 % |
|                                Health: Good, Sidewalk: No Sidewalk: Damage, OnCurb, Street Tree, 2019                               | 17.9420 % |
|                        Health: Good, Sidewalk: No Sidewalk: Damage, OnCurb, Street Tree, 2019, Status: Alive                        | 17.9420 % |
|                                   Sidewalk: No Sidewalk: Damage, Problems: None, Street Tree, 2018                                  | 17.9300 % |
|                           Sidewalk: No Sidewalk: Damage, Problems: None, Street Tree, 2018, Status: Alive                           | 17.9300 % |
|                                   Surveyor Type: Volunteer, Sidewalk: No Sidewalk: Damage, OnCurb                                   | 17.8460 % |
|                            Surveyor Type: Volunteer, Sidewalk: No Sidewalk: Damage, OnCurb, Status: Alive                           | 17.8460 % |
|                            Health: Good, Sidewalk: No Sidewalk: Damage, OnCurb, Problems: None, Brooklyn                            | 17.7700 % |
|                     Health: Good, Sidewalk: No Sidewalk: Damage, OnCurb, Problems: None, Brooklyn, Status: Alive                    | 17.7700 % |
|                                   OnCurb, Brooklyn, Surveyor Type: TreesCount Staff, Status: Alive                                  | 17.7600 % |
|                                                    Surveyor Type: Volunteer, 2019                                                   | 17.7400 % |
|                                     Health: Good, OnCurb, Problems: None, Street Tree, Brooklyn                                     | 17.7280 % |
|                              Health: Good, OnCurb, Problems: None, Street Tree, Brooklyn, Status: Alive                             | 17.7280 % |
|                                         Health: Good, Surveyor Type: Volunteer, Street Tree                                         | 17.6520 % |
|                                  Health: Good, Surveyor Type: Volunteer, Street Tree, Status: Alive                                 | 17.6520 % |
|                                  Tree Diameter: (-0.001, 4.0], OnCurb, Problems: None, Street Tree                                  | 17.6460 % |
|                           Tree Diameter: (-0.001, 4.0], OnCurb, Problems: None, Street Tree, Status: Alive                          | 17.6460 % |
|                               Tree Diameter: (-0.001, 4.0], Sidewalk: No Sidewalk: Damage, Street Tree                              | 17.6400 % |
|                       Tree Diameter: (-0.001, 4.0], Sidewalk: No Sidewalk: Damage, Street Tree, Status: Alive                       | 17.6400 % |
|                          Tree Diameter: (-0.001, 4.0], Health: Good, Sidewalk: No Sidewalk: Damage, OnCurb                          | 17.5780 % |
|                   Tree Diameter: (-0.001, 4.0], Health: Good, Sidewalk: No Sidewalk: Damage, OnCurb, Status: Alive                  | 17.5780 % |
|                                       Health: Good, OnCurb, Problems: None, Street Tree, 2019                                       | 17.4720 % |
|                                Health: Good, OnCurb, Problems: None, Street Tree, 2019, Status: Alive                               | 17.4720 % |
|                                            Sidewalk: No Sidewalk: Damage, Brooklyn, 2019                                            | 17.4680 % |
|                                     Sidewalk: No Sidewalk: Damage, Brooklyn, 2019, Status: Alive                                    | 17.4680 % |
|                                  Surveyor Type: NYC Parks Staff, OnCurb, Street Tree, Status: Alive                                 | 17.4460 % |
|                                         Health: Good, Surveyor Type: TreesCount Staff, 2018                                         | 17.4200 % |
|                                  Health: Good, Surveyor Type: TreesCount Staff, 2018, Status: Alive                                 | 17.4200 % |
|                                                     Health: Good, Brooklyn, 2018                                                    | 17.3500 % |
|                                             Health: Good, Brooklyn, 2018, Status: Alive                                             | 17.3500 % |
|                     Sidewalk: No Sidewalk: Damage, Problems: None, Street Tree, Surveyor Type: TreesCount Staff                     | 17.3240 % |
|              Sidewalk: No Sidewalk: Damage, Problems: None, Street Tree, Surveyor Type: TreesCount Staff, Status: Alive             | 17.3240 % |
|                                            Surveyor Type: Volunteer, 2019, Status: Alive                                            | 17.2860 % |
|                                    Surveyor Type: NYC Parks Staff, Sidewalk: No Sidewalk: Damage                                    | 17.1960 % |
|                             Surveyor Type: NYC Parks Staff, Sidewalk: No Sidewalk: Damage, Status: Alive                            | 17.1960 % |
|                                                      Sidewalk: Damage, Brooklyn                                                     | 17.1180 % |
|                                              Sidewalk: Damage, Brooklyn, Status: Alive                                              | 17.1180 % |
|                          Health: Good, OnCurb, Problems: None, Street Tree, Surveyor Type: TreesCount Staff                         | 17.0500 % |
|                  Health: Good, OnCurb, Problems: None, Street Tree, Surveyor Type: TreesCount Staff, Status: Alive                  | 17.0500 % |
|                           Tree Diameter: (-0.001, 4.0], Sidewalk: No Sidewalk: Damage, OnCurb, Street Tree                          | 17.0140 % |
|                   Tree Diameter: (-0.001, 4.0], Sidewalk: No Sidewalk: Damage, OnCurb, Street Tree, Status: Alive                   | 17.0140 % |
|                               Sidewalk: No Sidewalk: Damage, OnCurb, Problems: None, Street Tree, 2018                              | 16.9500 % |
|                       Sidewalk: No Sidewalk: Damage, OnCurb, Problems: None, Street Tree, 2018, Status: Alive                       | 16.9500 % |
|                                          Street Tree, Surveyor Type: TreesCount Staff, 2018                                         | 16.9420 % |
|                                              Health: Good, Street Tree, Brooklyn, 2019                                              | 16.9320 % |
|                                       Health: Good, Street Tree, Brooklyn, 2019, Status: Alive                                      | 16.9320 % |
|                                   Sidewalk: No Sidewalk: Damage, Problems: None, Street Tree, 2019                                  | 16.9220 % |
|                           Sidewalk: No Sidewalk: Damage, Problems: None, Street Tree, 2019, Status: Alive                           | 16.9220 % |
|                                                Surveyor Type: Volunteer, OnCurb, 2019                                               | 16.8540 % |
|                      Health: Good, Sidewalk: No Sidewalk: Damage, Street Tree, Surveyor Type: TreesCount Staff                      | 16.8500 % |
|               Health: Good, Sidewalk: No Sidewalk: Damage, Street Tree, Surveyor Type: TreesCount Staff, Status: Alive              | 16.8500 % |
|                                              Sidewalk: No Sidewalk: Damage, Light Pole                                              | 16.8440 % |
|                                       Sidewalk: No Sidewalk: Damage, Status: Alive, Light Pole                                      | 16.8440 % |
|                                 Sidewalk: No Sidewalk: Damage, Problems: None, Street Tree, Brooklyn                                | 16.7440 % |
|                         Sidewalk: No Sidewalk: Damage, Problems: None, Street Tree, Brooklyn, Status: Alive                         | 16.7440 % |
|                                                  Sidewalk: Damage, OnCurb, Brooklyn                                                 | 16.7360 % |
|                                          Sidewalk: Damage, OnCurb, Brooklyn, Status: Alive                                          | 16.7360 % |
|                                     Health: Good, Surveyor Type: Volunteer, OnCurb, Street Tree                                     | 16.7260 % |
|                              Health: Good, Surveyor Type: Volunteer, OnCurb, Street Tree, Status: Alive                             | 16.7260 % |
|                                                 Sidewalk: No Sidewalk: Damage, Bronx                                                | 16.7100 % |
|                                         Sidewalk: No Sidewalk: Damage, Bronx, Status: Alive                                         | 16.7100 % |
|                                                 Health: Good, OnCurb, Brooklyn, 2018                                                | 16.6420 % |
|                                         Health: Good, OnCurb, Brooklyn, 2018, Status: Alive                                         | 16.6420 % |
|                                     Health: Good, OnCurb, Surveyor Type: TreesCount Staff, 2018                                     | 16.6240 % |
|                              Health: Good, OnCurb, Surveyor Type: TreesCount Staff, 2018, Status: Alive                             | 16.6240 % |
|                                                        Sidewalk: Damage, 2019                                                       | 16.6200 % |
|                                                Sidewalk: Damage, 2019, Status: Alive                                                | 16.6200 % |
|                                       Tree Diameter: (-0.001, 4.0], Health: Good, Street Tree                                       | 16.6120 % |
|                                Tree Diameter: (-0.001, 4.0], Health: Good, Street Tree, Status: Alive                               | 16.6120 % |
|                                                        Bronx, Problems: None                                                        | 16.5900 % |
|                                                 Bronx, Problems: None, Status: Alive                                                | 16.5900 % |
|                                        Sidewalk: No Sidewalk: Damage, OnCurb, Brooklyn, 2019                                        | 16.5440 % |
|                                 Sidewalk: No Sidewalk: Damage, OnCurb, Brooklyn, 2019, Status: Alive                                | 16.5440 % |
|                                            Surveyor Type: NYC Parks Staff, Problems: None                                           | 16.5340 % |
|                                    Surveyor Type: NYC Parks Staff, Problems: None, Status: Alive                                    | 16.5340 % |
|                                  Street Tree, Surveyor Type: TreesCount Staff, 2018, Status: Alive                                  | 16.5080 % |
|                                                      Health: Good, (15.0, 99.0]                                                     | 16.4960 % |
|                                              Health: Good, (15.0, 99.0], Status: Alive                                              | 16.4960 % |
|                                        Surveyor Type: Volunteer, OnCurb, 2019, Status: Alive                                        | 16.4100 % |
|                                                    Problems: None, Brooklyn, 2019                                                   | 16.3320 % |
|                                            Problems: None, Brooklyn, 2019, Status: Alive                                            | 16.3320 % |
|                                Surveyor Type: NYC Parks Staff, Sidewalk: No Sidewalk: Damage, OnCurb                                | 16.3060 % |
|                         Surveyor Type: NYC Parks Staff, Sidewalk: No Sidewalk: Damage, OnCurb, Status: Alive                        | 16.3060 % |
|                                                          Bronx, Street Tree                                                         | 16.2900 % |
|                                          Health: Good, OnCurb, Street Tree, Brooklyn, 2019                                          | 16.2620 % |
|                 Sidewalk: No Sidewalk: Damage, OnCurb, Problems: None, Street Tree, Surveyor Type: TreesCount Staff                 | 16.2620 % |
|                                   Health: Good, OnCurb, Street Tree, Brooklyn, 2019, Status: Alive                                  | 16.2620 % |
|          Sidewalk: No Sidewalk: Damage, OnCurb, Problems: None, Street Tree, Surveyor Type: TreesCount Staff, Status: Alive         | 16.2620 % |
|                                                      Health: Good, (9.0, 15.0]                                                      | 16.2520 % |
|                                               Health: Good, (9.0, 15.0], Status: Alive                                              | 16.2520 % |
|                                      OnCurb, Street Tree, Surveyor Type: TreesCount Staff, 2018                                     | 16.1620 % |
|                      Tree Diameter: (-0.001, 4.0], Health: Good, Sidewalk: No Sidewalk: Damage, Problems: None                      | 16.1580 % |
|               Tree Diameter: (-0.001, 4.0], Health: Good, Sidewalk: No Sidewalk: Damage, Problems: None, Status: Alive              | 16.1580 % |
|                                   Tree Diameter: (-0.001, 4.0], Health: Good, OnCurb, Street Tree                                   | 16.1020 % |
|                            Tree Diameter: (-0.001, 4.0], Health: Good, OnCurb, Street Tree, Status: Alive                           | 16.1020 % |
|                                                    Sidewalk: Damage, OnCurb, 2019                                                   | 16.0500 % |
|                                            Sidewalk: Damage, OnCurb, 2019, Status: Alive                                            | 16.0500 % |
|                                                  Tree Diameter: (-0.001, 4.0], 2019                                                 | 16.0460 % |
|                               Sidewalk: No Sidewalk: Damage, OnCurb, Problems: None, Street Tree, 2019                              | 16.0200 % |
|                       Sidewalk: No Sidewalk: Damage, OnCurb, Problems: None, Street Tree, 2019, Status: Alive                       | 16.0200 % |
|                                                      Problems: None, Light Pole                                                     | 16.0040 % |
|                                              Problems: None, Status: Alive, Light Pole                                              | 16.0040 % |
|                                          Sidewalk: No Sidewalk: Damage, OnCurb, Light Pole                                          | 15.9220 % |
|                                   Sidewalk: No Sidewalk: Damage, OnCurb, Status: Alive, Light Pole                                  | 15.9220 % |
|                  Health: Good, Sidewalk: No Sidewalk: Damage, OnCurb, Street Tree, Surveyor Type: TreesCount Staff                  | 15.8900 % |
|           Health: Good, Sidewalk: No Sidewalk: Damage, OnCurb, Street Tree, Surveyor Type: TreesCount Staff, Status: Alive          | 15.8900 % |
|                                        Problems: None, Surveyor Type: TreesCount Staff, 2018                                        | 15.8640 % |
|                                 Problems: None, Surveyor Type: TreesCount Staff, 2018, Status: Alive                                | 15.8640 % |
|                                                     Street Tree, Brooklyn, 2018                                                     | 15.8540 % |
|                                        Surveyor Type: NYC Parks Staff, OnCurb, Problems: None                                       | 15.8460 % |
|                                Surveyor Type: NYC Parks Staff, OnCurb, Problems: None, Status: Alive                                | 15.8460 % |
|                                                Tree Diameter: (-0.001, 4.0], Brooklyn                                               | 15.8400 % |
|                             Sidewalk: No Sidewalk: Damage, OnCurb, Problems: None, Street Tree, Brooklyn                            | 15.8360 % |
|                     Sidewalk: No Sidewalk: Damage, OnCurb, Problems: None, Street Tree, Brooklyn, Status: Alive                     | 15.8360 % |
|                                                       Health: Good, (5.0, 9.0]                                                      | 15.8160 % |
|                                               Health: Good, (5.0, 9.0], Status: Alive                                               | 15.8160 % |
|                              OnCurb, Street Tree, Surveyor Type: TreesCount Staff, 2018, Status: Alive                              | 15.7640 % |
|                                                        Sidewalk: Damage, 2018                                                       | 15.7500 % |
|                                                Sidewalk: Damage, 2018, Status: Alive                                                | 15.7500 % |
|                                                  Bronx, Street Tree, Status: Alive                                                  | 15.7100 % |
|                                             Sidewalk: No Sidewalk: Damage, OnCurb, Bronx                                            | 15.7060 % |
|                                     Sidewalk: No Sidewalk: Damage, OnCurb, Bronx, Status: Alive                                     | 15.7060 % |
|                                                    Health: Good, (71.414, 73.558]                                                   | 15.6680 % |
|                                            Health: Good, (71.414, 73.558], Status: Alive                                            | 15.6680 % |
|                                                    OnCurb, Bronx, Problems: None                                                    | 15.6240 % |
|                                             OnCurb, Bronx, Problems: None, Status: Alive                                            | 15.6240 % |
|                                                  Health: Good, OnCurb, (9.0, 15.0]                                                  | 15.6160 % |
|                                           Health: Good, OnCurb, (9.0, 15.0], Status: Alive                                          | 15.6160 % |
|                  Tree Diameter: (-0.001, 4.0], Health: Good, Sidewalk: No Sidewalk: Damage, OnCurb, Problems: None                  | 15.6140 % |
|           Tree Diameter: (-0.001, 4.0], Health: Good, Sidewalk: No Sidewalk: Damage, OnCurb, Problems: None, Status: Alive          | 15.6140 % |
|                                                  Tree Diameter: (-0.001, 4.0], 2018                                                 | 15.5520 % |
|                                                OnCurb, Problems: None, Brooklyn, 2019                                               | 15.5440 % |
|                                        OnCurb, Problems: None, Brooklyn, 2019, Status: Alive                                        | 15.5440 % |
|                                              Tree Diameter: (-0.001, 4.0], OnCurb, 2019                                             | 15.5340 % |
|                                              Street Tree, Brooklyn, 2018, Status: Alive                                             | 15.5260 % |
|                                                  Surveyor Type: Volunteer, Brooklyn                                                 | 15.5220 % |
|                                                    Health: Good, (73.558, 76.299]                                                   | 15.5200 % |
|                                            Health: Good, (73.558, 76.299], Status: Alive                                            | 15.5200 % |
|                                                    Health: Good, (82.743, 95.695]                                                   | 15.5080 % |
|                                            Health: Good, (82.743, 95.695], Status: Alive                                            | 15.5080 % |
|                                         Health: Good, Surveyor Type: TreesCount Staff, 2019                                         | 15.4120 % |
|                                                      OnCurb, Bronx, Street Tree                                                     | 15.4120 % |
|                                  Health: Good, Surveyor Type: TreesCount Staff, 2019, Status: Alive                                 | 15.4120 % |
|                                              Health: Good, (52.443000000000005, 71.414]                                             | 15.4040 % |
|                                      Health: Good, (52.443000000000005, 71.414], Status: Alive                                      | 15.4040 % |
|                                              Street Tree, (52.443000000000005, 71.414]                                              | 15.3840 % |
|                                                    Health: Good, (76.299, 82.743]                                                   | 15.3800 % |
|                                            Health: Good, (76.299, 82.743], Status: Alive                                            | 15.3800 % |
|                                    Tree Diameter: (-0.001, 4.0], Surveyor Type: TreesCount Staff                                    | 15.3620 % |
|                                 Sidewalk: No Sidewalk: Damage, Surveyor Type: TreesCount Staff, 2018                                | 15.3560 % |
|                         Sidewalk: No Sidewalk: Damage, Surveyor Type: TreesCount Staff, 2018, Status: Alive                         | 15.3560 % |
|                                            Tree Diameter: (-0.001, 4.0], OnCurb, Brooklyn                                           | 15.3540 % |
|                                          Surveyor Type: Volunteer, Brooklyn, Status: Alive                                          | 15.2680 % |
|                                      Surveyor Type: NYC Parks Staff, Health: Good, Street Tree                                      | 15.2440 % |
|                               Surveyor Type: NYC Parks Staff, Health: Good, Street Tree, Status: Alive                              | 15.2440 % |
|                                                    Sidewalk: Damage, OnCurb, 2018                                                   | 15.2380 % |
|                                            Sidewalk: Damage, OnCurb, 2018, Status: Alive                                            | 15.2380 % |
|                                                             Health: Fair                                                            | 15.2340 % |
|                                                     Health: Fair, Status: Alive                                                     | 15.2340 % |
|                                                   Health: Good, (5.0, 9.0], OnCurb                                                  | 15.1760 % |
|                                           Health: Good, (5.0, 9.0], OnCurb, Status: Alive                                           | 15.1760 % |
|                                                 OnCurb, Street Tree, Brooklyn, 2018                                                 | 15.1640 % |
|                                                  OnCurb, Problems: None, Light Pole                                                 | 15.1540 % |
|                                          OnCurb, Problems: None, Status: Alive, Light Pole                                          | 15.1540 % |
|                       Tree Diameter: (-0.001, 4.0], Sidewalk: No Sidewalk: Damage, Problems: None, Street Tree                      | 15.1380 % |
|               Tree Diameter: (-0.001, 4.0], Sidewalk: No Sidewalk: Damage, Problems: None, Street Tree, Status: Alive               | 15.1380 % |
|                                                  Health: Good, OnCurb, (15.0, 99.0]                                                 | 15.0900 % |
|                                          Health: Good, OnCurb, (15.0, 99.0], Status: Alive                                          | 15.0900 % |
|                                        Tree Diameter: (-0.001, 4.0], Brooklyn, Status: Alive                                        | 15.0300 % |
|                                    OnCurb, Problems: None, Surveyor Type: TreesCount Staff, 2018                                    | 15.0100 % |
|                             OnCurb, Problems: None, Surveyor Type: TreesCount Staff, 2018, Status: Alive                            | 15.0100 % |
|                                          Tree Diameter: (-0.001, 4.0], 2019, Status: Alive                                          | 14.9940 % |
|                                              Tree Diameter: (-0.001, 4.0], OnCurb, 2018                                             | 14.9740 % |
|                                              Surveyor Type: Volunteer, OnCurb, Brooklyn                                             | 14.9660 % |
|                                       Street Tree, (52.443000000000005, 71.414], Status: Alive                                      | 14.9660 % |
|                                                Health: Good, OnCurb, (71.414, 73.558]                                               | 14.9580 % |
|                                        Health: Good, OnCurb, (71.414, 73.558], Status: Alive                                        | 14.9580 % |
|                                                    Street Tree, (71.414, 73.558]                                                    | 14.8860 % |
|                                                        2018, (73.558, 76.299]                                                       | 14.8820 % |
